id,type,date,text
54,message,2017-05-13T13:56:18,"Бунтократия — украинский националистический журнал. Никакой грязной политики – только история и культура; позабытые страницы славного прошлого и великого будущего нашей нации. Лёгкие тексты, интеллектуальный подход, яркая графика. Всё это — Бунтократия. 

Один из наших лучших текстов — статья о том, как украинские добровольцы во главе с Петром Болбочаном возвратили Крым в состав Украины в ходе дерзкой военной операции: ; 

Поделитесь этой записью с друзьями. Чем больше читателей — тем приятнее нам заниматься современной националистической публицистикой. Подписаться на канал: ; . 

Сегодня почти весь Интернет принадлежит либералам. Завтра он должен стать территорией украинских националистов. Присоединяйтесь!"
56,message,2017-05-15T00:23:37,"Друзі! В нас до вас дуже серйозне прохання - поширити наші надзвичайно важливі новини.

За посиланнями нижче опубліковано відео з інтерв'ю ; , щодо кримінальних справ проти командирів, які на фронті відкривають вогонь у відповідь на вогонь з боку сепаратистів.

"
58,message,2017-05-15T20:24:35,"Актуальні новини за сьогодні:

; 
Повна заява тут: ; 

; 
Нещодавно адміністрація «Азовця» отримали лист від «Нового Каналу» з проханням дозволити провести зйомки українського реаліті-шоу на території табору. «Азовець» уперше за два роки свого існування погодився взяти участь у подібному експерименті, адже цей табір завжди був відкритим для журналістів як українських видань, так і іноземних.
; 

; 
Силу вибуху можна порівняти з бімбою, яка вибухнула в квітні цього року в Петербургзькому метро. За свідченнями вибухотехніків ""Бімбу"" заклали дуже непрофесійно.
"
60,message,2017-05-16T20:07:48,"Актуальне за сьогодні:

; 
В той час, як частина української спільноти радіє «сильному» і «сміливому» вчинку Порошенка закрити російські соціальні мережі, а інша – обурюється, що ніде буде слухати музику і дивитися картинки, якось повз увагою пройшов повний текст рішення Ради національної безпеки і оборони України від «28» квітня 2017 року «Про застосування персональних спеціальних економічних та інших обмежувальних заходів (санкцій)».
; 

; 
Сьогодні біля машини активіста Національного Корпусу за місцем мешкання було закладено вибуховий пристрій. На місце прибула поліція з вибухотехнічної службою, яка визначила небоєздатність пристрою.
; 

; 
Детальніше: ; 

; 
18 травня Маріуполь відзначатиме День вишиванки. В цей день просто одягни вишиванку, де б ти не був, і щоб не робив.
Приходь о 18.00 до колишньої міської ради, де ми об’єднаємось у велику рушійну силу та пройдемось центральним проспектом парадом вишиванок. Покажемо усьому світові, що Маріуполь – український форпост Донеччини!
"
62,message,2017-05-17T20:16:05,"Актуальні новини за сьогодні:

; 
Події 9 травня у Запорізькій області, а саме випадки використання забороненої символіки на так званих парадах до Дня перемоги та провокаційних ходах «бессмертного полка», потребували чіткої позиції влади та силових структур. І ось нарешті 16 травня діалог із патріотичними силами Запоріжжя та області, серед яких були й представники Національного Корпусу, відбувся.
; 

; 
Національний Корпус та Східний Корпус 20 травня запрошують харків'ян на цілий день повністю зануритися в атмосферу всього справжнього, українського! Від традицій до сучасності – на святі присутні відчують зв'язок теперішнього, минулого, пройдуть мапою, кордонами, отримають відповіді на запитання: хто такий «українець», що таке «українське»? Гості заходу поринуть у процес національного самопізнання та самоусвідомлення.
; 

; 
Наперекір сучасному культу оплакування загиблих ми згадаємо славні моменти історії, героїчні перемоги та звитяги наших воїнів. Ми з гордістю зустрінемо цей день, тому що за героями потрібно не плакати, а ПИШАТИСЯ!
; 

; 
З сьогоднішнього дня ви можете пропонувати свої новини для публікації в цьому чат-каналі, а також на інших ресурсах Національного Корпусу.
Зробити можна через нашого чат-бота, посилання на нього знаходиться нижче 👇👇👇👇
Також через нього ви можете написати свої запитання, зауваження та пропозиції.

Ставте лайк, якщо вам подобається таке нововведення."
63,message,2017-05-17T20:39:38,"Друзі! Невеликий лайфхак для тих, кому набридла панель emoji в desktop версії Telegram!"
64,message,2017-05-17T20:39:38,Вот та самая подсказка о скрытии панели эмодзи/стикеров/GIF
65,message,2017-05-18T12:02:21,"Всім привіт і хорошого четверга вам!

Друзі, ми знаємо, що серед вас і ваших друзів є блогери. Також ви постійно проводите акції, які висвітлюєте через соціальні мережі.

Так чого ви чекаєте? ; 

Ми максимально поширимо цю інформацію на наших інформаційних ресурсах.

Посилання на чат-бот нижче
👇👇👇👇👇👇"
67,message,2017-05-18T17:48:47,"А ось вам і актуальні новини за сьогодні:

; 
БПП відмовилось розглядати у Раді законопроект, ініційований депутатом-азовцем Олегом Петренком, що обмежив би діяльність російської православної церкви в Україні. Церква країни окупанта вже дякує своїм вірним прихожанам з влади за підтримку.
; 

; 
17 травня Кабінет міністрів України одноголосно схвалив законопроект про пенсійну реформу. Важко передбачити всі підводні камені наступної реформи, адже на сайті Кабінету міністрів станом на ранок 18 травня представлена лише презентація.
Але навіть виходячи із презентації можна прийти до висновку, що гучний термін «реформа» можна застосувати до урядового законопроекту з надзвичайно великою натяжкою.
; 

; 
Постановою РНБО пропонувалося ввести санкції проти Віктора Януковича і Ко, проект постанови №5350 декілька разів виносився на голосування, але він так і не набрав потрібної кількості голосів нардепів. «За» проголосувало 202 депутати, інші ж ані у вчинках Януковича, а ні його найближчого оточення, нічого поганого, мабуть, не вбачають.
; 

; 
20 травня в суботу о 10:00 на свіжому повітрі біля Дніпра (Оболонський район, затока «Верблюжа») відбудеться практичний майстер-клас з еко-будівництва за допомогою солом'яних тюків та глини. У дружній атмосфері будемо працювати з глиною та соломою, вивчати технології еко-будівництва, пити смачний чай, ліпити з глини коників та насолоджуватись природою!
; 

Ще раз нагадуємо, що ми від вас очікуємо публікації у ваших блогах, щоб ми могли їх поширювати на наших інформаційних ресурсах. Щоб прислати новини натискайте кнопку нижче."
68,message,2017-05-18T18:27:56,"Сьогодні архітектурно-містобудівна рада міста Києва підтримала проект реконструкції дорожньої розв'язки біля станції метро Шулявська.

Публікуємо ""реінкарнацію"" статті, написаної 28 лютого, коли відбувся обвал Шулявського шляхопроводу.

"
